target_role,category,difficulty,question_text,expected_points,sample_star_answer,is_active
General,General,easy,Ceritakan tentang diri Anda dan latar belakang pengalaman profesional Anda secara singkat.,"{Latar belakang profesional,Keahlian & fokus utama,Pencapaian relevan,Alasan antusiasme peranan}","Situation: Membuka sesi wawancara kerja. Task: Memberikan gambaran kualifikasi dalam 2 menit. Action: Menjelaskan 3+ tahun pengalaman di bidang pengembangan software, pencapaian mengoptimalkan performa web 40%, dan minat pada produk inovatif perusahaan ini. Result: Pewawancara mendapatkan gambaran latar belakang yang solid.",True
General,General,easy,Mengapa Anda tertarik untuk melamar posisi dan bergabung di perusahaan kami?,"{Pemahaman kultur & produk perusahaan,Relevansi nilai pribadi dengan visi perusahaan,Kontribusi yang ingin diberikan}",Situation: Tertarik melamar karena reputasi inovasi produk perusahaan. Task: Menunjukkan motivasi dan fit kultur. Action: Menjelaskan riset produk terkini perusahaan dan bagaimana keahlian saya dapat mengakselerasi pengembangan fitur tersebut. Result: Membuktikan ketertarikan yang genuine dan persiapan matang.,True
General,General,easy,Apa kekuatan atau keahlian utama yang paling membedakan Anda dengan kandidat lain?,"{Skill spesifik yang relevan,Contoh nyata penerapan kekuatan,Dampak positif pada tim/proyek}",Situation: Menyoroti keunggulan kompetitif. Task: Mengomunikasikan keahlian utama. Action: Menjelaskan kombinasi keahlian teknis pemecahan masalah (problem-solving) dan komunikasi yang efektif antara tim engineering dan bisnis. Result: Pewawancara memahami nilai tambah unik saya.,True
General,General,easy,Apa kelemahan terbesar Anda dan bagaimana usaha konkret yang Anda lakukan untuk mengatasinya?,"{Kelemahan nyata (bukan perfectionist),Langkah perbaikan konkret,Perkembangan/progres saat ini}",Situation: Dulu sering mengalami kesulitan mengatakan tidak pada tugas tambahan. Task: Mengatasi kelemahan manajemen waktu. Action: Belajar menggunakan framework prioritisasi RICE dan mendiskusikan kapasitas kerja secara terbuka dengan manajer. Result: Produktivitas meningkat tanpa beban berlebih.,True
General,General,medium,Ceritakan pencapaian paling berkesan dalam karir/studi Anda dan bagaimana proses Anda mencapainya.,"{Tantangan awal,Langkah strategis,Metrik keberhasilan,Dampak jangka panjang}","Situation: Proyek aplikasi web mengalami kendala keandalan di tengah peluncuran. Task: Memastikan stabilitas sistem. Action: Memimpin migrasi arsitektur ke microservices dan otomatisasi testing dalam waktu 1 bulan. Result: Aplikasi berhasil rilis zero-downtime dan meraih 50,000 pengguna baru.",True
General,General,easy,Di mana Anda melihat diri Anda sendiri dalam 3 hingga 5 tahun ke depan?,"{Tujuan karir realistis,Pengembangan skill jangka panjang,Kontribusi pada pertumbuhan perusahaan}",Situation: Merencanakan jalur karir jangka panjang. Task: Menyelaraskan ambisi dengan arah perusahaan. Action: Berkomitmen memperdalam penguasaan teknologi frontend/fullstack dan bercita-cita tumbuh menjadi Tech Lead yang membimbing tim. Result: Pewawancara melihat komitmen loyalitas dan motivasi berkembang.,True
General,Behavioral,medium,Ceritakan pengalaman Anda ketika dihadapkan pada masalah yang sangat rumit dan bagaimana Anda menyelesaikannya.,"{Identifikasi akar masalah (Root Cause),Metode analisis terstruktur,Implementasi solusi,Evaluasi hasil}","Situation: Terjadi bug sporadis di production yang sulit di-reproduce. Task: Mencari dan menangani bug. Action: Mengumpulkan telemetry log, melakukan profiling memori, dan mengisolasi race condition pada komponen state. Result: Bug berhasil diperbaiki permanen dan stabilitas mencapai 99.9%.",True
General,Behavioral,medium,Ceritakan pengalaman saat Anda mengalami konflik atau perbedaan pendapat dengan rekan kerja/atasan.,"{Mendengarkan aktif (Active listening),Fokus pada tujuan bersama,Diskusi berbasis data/bukti,Kompromi win-win}",Situation: Perbedaan pandangan dengan UI designer terkait kompleksitas animasi fitur. Task: Mencapai kesepakatan terbaik. Action: Mengajak diskusi dengan prototype pembanding serta menyajikan data performa perangkat low-end. Result: Sepakat memilih animasi yang ringan namun tetap estetik.,True
General,Behavioral,medium,Ceritakan kegagalan atau kesalahan terbesar yang pernah Anda buat di tempat kerja dan pelajaran apa yang Anda dapatkan.,"{Tanggung jawab tanpa menyalahkan orang lain,Tindakan korektif cepat,Pelajaran & mitigasi masa depan}","Situation: Pernah secara tidak sengaja salah deploy skrip database di staging yang merusak draf data testing. Task: Memperbaiki kesalahan dengan jujur. Action: Segera menginformasikan tim, melakukan rollback dari backup, dan memasang guard Script Migration CI/CD. Result: Data pulih dan sistem CI/CD menjadi lebih aman.",True
General,Behavioral,medium,Bagaimana cara Anda mengelola stres dan tetap produktif ketika tenggat waktu sangat mendesak?,"{Manajemen emosi & ketenangan,Breakdown tugas skala kecil,Komunikasi transparansi status,Fokus pada prioritas utama}","Situation: Fitur kritis ditargetkan rilis dalam 2 hari untuk event launching. Task: Menjaga kualitas di bawah tekanan. Action: Membuat urutan tugas prioritas utama (critical path), mengomunikasikan progres tiap 4 jam, dan fokus tanpa distraksi. Result: Fitur rilis tepat waktu tanpa bug penahan.",True
