target_role,category,difficulty,question_text,expected_points,sample_star_answer,is_active
Frontend Developer,General,easy,Ceritakan tentang pengalaman Anda membangun aplikasi Frontend dan stack teknologi yang paling sering Anda gunakan.,"{Latar belakang pengalaman Frontend,Framework utama (React/Next.js/Vue),State management & Styling kit,Pencapaian proyek utama}","Situation: Memulai karir 3 tahun sebagai Frontend Engineer. Task: Mengembangkan aplikasi web interaktif skala sedang-besar. Action: Memanfaatkan React, TypeScript, TailwindCSS, dan Zustand untuk arsitektur clean. Result: Berhasil merilis 4 aplikasi web dengan performa tinggi dan kepuasan pengguna 95%.",True
Frontend Developer,General,easy,Bagaimana cara Anda tetap up-to-date dengan perkembangan ekosistem Frontend yang berubah sangat cepat?,"{Membaca dokumentasi resmi & changelog,Mengikuti newsletter/blog seperti React Status & Vercel,Eksperimen side-project,Komunitas lokal/global}","Situation: Ekosistem Frontend berinovasi sangat cepat seperti Server Actions dan Compiler baru. Task: Menjaga keahlian tetap relevan. Action: Membaca RFC resmi, mencoba fitur baru di side-project akhir pekan, dan mendiskusikan temuan di tech-sharing mingguan tim. Result: Tim dapat mengadopsi optimasi build terbaru lebih cepat.",True
Frontend Developer,Technical,easy,"Apa perbedaan antara State dan Props dalam React, dan kapan Anda menggunakan masing-masing?","{Penjelasan State (mutable lokal),Penjelasan Props (immutable dari parent),Data flow top-down,Kapan menggunakan masing-masing}",Situation: Anggota tim pemula kebingungan mengelola data komponen. Task: Menjelaskan best practice data flow. Action: Mengedukasi bahwa Props bersifat read-only dari parent dan State adalah mutable lokal. Result: Struktur komponen tim menjadi lebih teratur dan bebas bug re-render.,True
Frontend Developer,Technical,easy,Jelaskan bagaimana Event Delegation bekerja pada JavaScript dan mengapa hal ini penting untuk efisiensi DOM?,"{Event Bubbling & Capturing,Single Event Listener pada parent,Penghematan memori,Penanganan elemen dinamis}","Situation: List produk dengan 1000+ item memiliki event listener terpasang pada tiap item, membuat memori melonjak. Task: Memperbaiki efisiensi memori DOM. Action: Menerapkan Event Delegation dengan memasang 1 listener di elemen parent <ul> dan menggunakan e.target. Result: Penggunaan memori DOM berkurang 70%.",True
Frontend Developer,Technical,easy,"Apa perbedaan utama antara CSS Flexbox dan CSS Grid, serta kapan waktu terbaik menggunakan masing-masing?","{Flexbox untuk 1 dimensi (row/column),CSS Grid untuk 2 dimensi (row & column),Use case spesifik masing-masing,Alignment & distribution}",Situation: Layout dashboard kompleks bertabrakan di tampilan mobile. Task: Merapikan tata letak komponen. Action: Menggunakan CSS Grid untuk struktur utama dashboard (2D) dan Flexbox untuk aligment navbar & tombol (1D). Result: Tampilan fully responsive di semua ukuran layar.,True
Frontend Developer,Technical,medium,Bagaimana cara kerja useEffect Hook dan bagaimana Anda mencegah timbulnya infinite re-render atau memory leak?,"{Dependency Array (empty, populated, missing),Cleanup function (unsubscribe/abort),Stale closure problem,Strict Mode double-invoke}",Situation: Fitur live notification mengalami memory leak dan request berulang ke API. Task: Memperbaiki lifecycle effect. Action: Mengisi dependency array dengan tepat dan menambahkan cleanup function return () => socket.disconnect(). Result: Kebocoran memori teratasi dan konsumsi CPU stabil.,True
Frontend Developer,Technical,medium,"Kapan Anda memilih menggunakan Local State (useState), Context API, atau Global State Manager seperti Zustand/Redux?","{Local State untuk komponen terisolasi,Context API untuk low-velocity global data (theme/auth),Zustand/Redux untuk high-velocity & complex state,Avoid prop drilling}",Situation: Aplikasi mengalami prop drilling hingga 5 level komponen untuk data keranjang belanja. Task: Memilih state architecture yang scalable. Action: Menggunakan Zustand untuk keranjang belanja agar komponen hanya re-render pada selector yang berubah. Result: Kode bersih dan render terpangkas 50%.,True
Frontend Developer,Technical,medium,"Bagaimana TypeScript membantu Anda mencegah runtime error di Frontend, dan apa bedanya Type vs Interface?","{Static type checking,Autocomplete & DX,Interface declaration merging,Type alias union/intersection}",Situation: Sering terjadi TypeError: Cannot read property of undefined saat konsumsi API backend. Task: Mengurangi bug runtime. Action: Mengadopsi TypeScript secara ketat dengan interface kontrak DTO API. Result: Bug runtime di production berkurang hingga 80%.,True
Frontend Developer,Technical,medium,Bagaimana Anda menangani race condition pada API request yang dipanggil berturut-turut saat user mengetik di search bar?,"{Debouncing / Throttling,AbortController (cancelling stale request),Race condition identification,UX loading state}",Situation: Hasil pencarian di UI menampilkan data yang salah jika request lambat selesai belakangan. Task: Menjamin data pencarian selalu sesuai ketikan terakhir. Action: Mengombinasikan Debounce 300ms dengan AbortController.abort() pada request sebelumnya. Result: Hasil pencarian 100% konsisten.,True
Frontend Developer,Technical,medium,"Jelaskan perbedaan antara Client-Side Rendering (CSR), Server-Side Rendering (SSR), dan Static Site Generation (SSG).","{CSR (SPA/React),SSR (Next.js server render per request),SSG (Pre-rendered build time),Impact pada SEO & Time to First Byte (TTFB)}",Situation: Landing page produk memiliki skor SEO buruk di Google Search. Task: Meningkatkan keterbacaan bot SEO. Action: Memindahkan landing page dari CSR ke SSG/SSR menggunakan Next.js. Result: Skor Lighthouse SEO naik dari 45 ke 98 dan indexing Google lebih cepat.,True
